"survey_id" "water_id" "water_id_num" "lon" "lat" "utm_x" "utm_y" "transect_location" "transect_GRR" "transect_id" "river_class" "year" "week" "weeks_all" "juldate" "dry_season" "distance_to_water" "distance_to_water_rounded" "species" "species_id" "FEEDTYPE_A" "feed_type_A_char" "species_count"
"130" 181 "629" 629 34.89757 -7.69424 709301 9149040 1 "alongside" 8 "2_midstream" 2011 2 2 26 "early" 1327.85 1328 "I" 1 3 "mixed" 2
"131" 182 "594" 594 34.88086 -7.70849 707450 9147472 1 "alongside" 8 "2_midstream" 2011 2 2 26 "early" 1611.76 1612 "I" 1 3 "mixed" 16
"132" 183 "579" 579 34.87582 -7.71171 706892 9147118 1 "alongside" 8 "2_midstream" 2011 2 2 26 "early" 1583.02 1583 "I" 1 3 "mixed" 3
"133" 184 "578" 578 34.8711 -7.71355 706371 9146917 1 "alongside" 8 "2_midstream" 2011 2 2 26 "early" 1451.71 1452 "I" 1 3 "mixed" 6
"134" 185 "569" 569 34.85914 -7.71908 705048 9146311 1 "alongside" 8 "2_midstream" 2011 2 2 26 "early" 1873.82 1874 "I" 1 3 "mixed" 10
"135" 186 "561" 561 34.86554 -7.74017 705744 9143975 1 "alongside" 8 "2_midstream" 2011 2 2 26 "early" 321.2 321 "I" 1 3 "mixed" 14
"136" 187 "559" 559 34.86623 -7.74143 705820 9143836 1 "alongside" 8 "2_midstream" 2011 2 2 26 "early" 345.59 346 "I" 1 3 "mixed" 9
"137" 188 "542" 542 34.87015 -7.75286 706247 9142570 1 "alongside" 8 "2_midstream" 2011 2 2 26 "early" 256 256 "I" 1 3 "mixed" 2
"138" 189 "532" 532 34.86869 -7.76379 706080 9141361 1 "alongside" 8 "2_midstream" 2011 2 2 26 "early" 464.39 464 "I" 1 3 "mixed" 19
"139" 190 "524" 524 34.8691 -7.7666 706124 9141050 1 "alongside" 8 "2_midstream" 2011 2 2 26 "early" 452.37 452 "I" 1 3 "mixed" 1
"140" 191 "520" 520 34.86888 -7.77014 706098 9140659 1 "alongside" 8 "2_midstream" 2011 2 2 26 "early" 261.59 262 "I" 1 3 "mixed" 2
"141" 192 "513" 513 34.86611 -7.7719 705792 9140466 1 "alongside" 8 "2_midstream" 2011 2 2 26 "early" 312.08 312 "E" 3 3 "mixed" 4
"142" 193 "504" 504 34.85676 -7.7761 704758 9140005 1 "alongside" 8 "2_midstream" 2011 2 2 26 "early" 251.92 252 "I" 1 3 "mixed" 2
"143" 194 "486" 486 34.85212 -7.78396 704243 9139138 1 "alongside" 8 "2_midstream" 2011 2 2 26 "early" 381.11 381 "E" 3 3 "mixed" 8
"144" 195 "486" 486 34.85163 -7.78394 704189 9139141 1 "alongside" 8 "2_midstream" 2011 2 2 26 "early" 386.63 387 "I" 1 3 "mixed" 21
"145" 196 "197" 197 34.6341 -7.88077 680152 9128531 1 "alongside" 6 "1_upstream" 2011 2 2 27 "early" 267.43 267 "B" 10 1 "grazer" 200
"146" 198 "136" 136 34.58493 -7.89879 674722 9126559 2 "perpendicular" 1 "1_upstream" 2011 2 2 28 "early" 309.89 310 "I" 1 3 "mixed" 10
"147" 199 "137" 137 34.57968 -7.89245 674146 9127262 2 "perpendicular" 1 "1_upstream" 2011 2 2 28 "early" 1213.76 1214 "E" 3 3 "mixed" 2
"148" 200 "1339" 1339 34.53767 -7.88316 669518 9128307 2 "perpendicular" 1 "1_upstream" 2011 2 2 28 "early" 3855.34 3855 "I" 1 3 "mixed" 1
"149" 204 "1339" 1339 34.54867 -7.82022 670756 9135263 2 "perpendicular" 1 "1_upstream" 2011 2 2 28 "early" 5793.95 5794 "I" 1 3 "mixed" 3
"150" 214 "862" 862 35.02147 -7.56588 723039 9163176 1 "alongside" 10 "3_downstream" 2011 2 2 29 "early" 1019.87 1020 "I" 1 3 "mixed" 7
"151" 222 "899" 899 35.04961 -7.54899 726154 9165030 1 "alongside" 10 "3_downstream" 2011 2 2 29 "early" 325 325 "I" 1 3 "mixed" 20
"152" 223 "899" 899 35.04961 -7.54899 726154 9165030 1 "alongside" 10 "3_downstream" 2011 2 2 29 "early" 325 325 "Z" 5 1 "grazer" 4
